time_iso8601,stars_cumulative
2018-01-09 00:00:00+00:00,516
2018-01-10 00:00:00+00:00,517
2018-01-12 00:00:00+00:00,524
2018-01-15 00:00:00+00:00,525
2018-01-16 00:00:00+00:00,528
2018-01-17 00:00:00+00:00,533
2018-01-18 00:00:00+00:00,539
2018-01-19 00:00:00+00:00,542
2018-01-20 00:00:00+00:00,545
2018-01-21 00:00:00+00:00,546
2018-01-22 00:00:00+00:00,552
2018-01-23 00:00:00+00:00,557
2018-01-24 00:00:00+00:00,558
2018-01-25 00:00:00+00:00,565
2018-01-26 00:00:00+00:00,569
2018-01-27 00:00:00+00:00,570
2018-01-28 00:00:00+00:00,572
2018-01-29 00:00:00+00:00,574
2018-01-30 00:00:00+00:00,576
2018-01-31 00:00:00+00:00,580
2018-02-01 00:00:00+00:00,582
2018-02-02 00:00:00+00:00,584
2018-02-03 00:00:00+00:00,585
2018-02-04 00:00:00+00:00,587
2018-02-05 00:00:00+00:00,588
2018-02-06 00:00:00+00:00,590
2018-02-07 00:00:00+00:00,593
2018-02-08 00:00:00+00:00,596
2018-02-09 00:00:00+00:00,599
2018-02-10 00:00:00+00:00,600
2018-02-11 00:00:00+00:00,601
2018-02-12 00:00:00+00:00,602
2018-02-14 00:00:00+00:00,604
2018-02-15 00:00:00+00:00,606
2018-02-16 00:00:00+00:00,609
2018-02-17 00:00:00+00:00,610
2018-02-18 00:00:00+00:00,611
2018-02-19 00:00:00+00:00,615
2018-02-20 00:00:00+00:00,619
2018-02-21 00:00:00+00:00,620
2018-02-22 00:00:00+00:00,622
2018-02-23 00:00:00+00:00,628
2018-02-24 00:00:00+00:00,632
2018-02-25 00:00:00+00:00,634
2018-02-26 00:00:00+00:00,635
2018-02-27 00:00:00+00:00,639
2018-02-28 00:00:00+00:00,643
2018-03-01 00:00:00+00:00,645
2018-03-02 00:00:00+00:00,646
2018-03-03 00:00:00+00:00,647
2018-03-04 00:00:00+00:00,648
2018-03-05 00:00:00+00:00,650
2018-03-06 00:00:00+00:00,651
2018-03-08 00:00:00+00:00,654
2018-03-09 00:00:00+00:00,655
2018-03-10 00:00:00+00:00,656
2018-03-11 00:00:00+00:00,661
2018-03-14 00:00:00+00:00,663
2018-03-15 00:00:00+00:00,665
2018-03-19 00:00:00+00:00,666
2018-03-20 00:00:00+00:00,667
2018-03-21 00:00:00+00:00,670
2018-03-22 00:00:00+00:00,673
2018-03-23 00:00:00+00:00,675
2018-03-24 00:00:00+00:00,678
2018-03-26 00:00:00+00:00,680
2018-03-27 00:00:00+00:00,681
2018-03-28 00:00:00+00:00,682
2018-03-29 00:00:00+00:00,683
2018-04-04 00:00:00+00:00,684
2018-04-05 00:00:00+00:00,685
2018-04-06 00:00:00+00:00,689
2018-04-07 00:00:00+00:00,690
2018-04-10 00:00:00+00:00,694
2018-04-11 00:00:00+00:00,695
2018-04-12 00:00:00+00:00,701
2018-04-13 00:00:00+00:00,705
2018-04-15 00:00:00+00:00,706
2018-04-16 00:00:00+00:00,707
2018-04-17 00:00:00+00:00,709
2018-04-19 00:00:00+00:00,710
2018-04-20 00:00:00+00:00,711
2018-04-21 00:00:00+00:00,714
2018-04-22 00:00:00+00:00,717
2018-04-23 00:00:00+00:00,720
2018-04-24 00:00:00+00:00,723
2018-04-25 00:00:00+00:00,724
2018-04-26 00:00:00+00:00,727
2018-04-27 00:00:00+00:00,732
2018-04-28 00:00:00+00:00,733
2018-04-30 00:00:00+00:00,735
2018-05-01 00:00:00+00:00,737
2018-05-02 00:00:00+00:00,738
2018-05-05 00:00:00+00:00,739
2018-05-08 00:00:00+00:00,740
2018-05-09 00:00:00+00:00,741
2018-05-10 00:00:00+00:00,742
2018-05-11 00:00:00+00:00,744
2018-05-14 00:00:00+00:00,746
2018-05-15 00:00:00+00:00,748
2018-05-17 00:00:00+00:00,749
2018-05-18 00:00:00+00:00,750
2018-05-19 00:00:00+00:00,751
2018-05-20 00:00:00+00:00,752
2018-05-21 00:00:00+00:00,753
2018-05-22 00:00:00+00:00,754
2018-05-23 00:00:00+00:00,756
2018-05-24 00:00:00+00:00,759
2018-05-25 00:00:00+00:00,763
2018-05-27 00:00:00+00:00,764
2018-05-28 00:00:00+00:00,766
2018-05-29 00:00:00+00:00,767
2018-05-30 00:00:00+00:00,771
2018-05-31 00:00:00+00:00,775
2018-06-02 00:00:00+00:00,777
2018-06-04 00:00:00+00:00,778
2018-06-05 00:00:00+00:00,780
2018-06-06 00:00:00+00:00,781
2018-06-07 00:00:00+00:00,785
2018-06-12 00:00:00+00:00,786
2018-06-13 00:00:00+00:00,787
2018-06-14 00:00:00+00:00,788
2018-06-15 00:00:00+00:00,789
2018-06-17 00:00:00+00:00,791
2018-06-18 00:00:00+00:00,792
2018-06-21 00:00:00+00:00,794
2018-06-22 00:00:00+00:00,796
2018-06-25 00:00:00+00:00,797
2018-06-26 00:00:00+00:00,799
2018-06-27 00:00:00+00:00,801
2018-06-28 00:00:00+00:00,802
2018-06-29 00:00:00+00:00,803
2018-07-01 00:00:00+00:00,804
2018-07-02 00:00:00+00:00,807
2018-07-03 00:00:00+00:00,810
2018-07-04 00:00:00+00:00,813
2018-07-05 00:00:00+00:00,814
2018-07-06 00:00:00+00:00,817
2018-07-10 00:00:00+00:00,819
2018-07-11 00:00:00+00:00,820
2018-07-12 00:00:00+00:00,822
2018-07-13 00:00:00+00:00,823
2018-07-14 00:00:00+00:00,825
2018-07-15 00:00:00+00:00,828
2018-07-17 00:00:00+00:00,829
2018-07-18 00:00:00+00:00,830
2018-07-21 00:00:00+00:00,832
2018-07-25 00:00:00+00:00,833
2018-07-27 00:00:00+00:00,835
2018-07-28 00:00:00+00:00,836
2018-08-01 00:00:00+00:00,839
2018-08-02 00:00:00+00:00,842
2018-08-03 00:00:00+00:00,844
2018-08-08 00:00:00+00:00,845
2018-08-10 00:00:00+00:00,846
2018-08-13 00:00:00+00:00,849
2018-08-14 00:00:00+00:00,850
2018-08-15 00:00:00+00:00,851
2018-08-16 00:00:00+00:00,853
2018-08-18 00:00:00+00:00,854
2018-08-20 00:00:00+00:00,855
2018-08-21 00:00:00+00:00,858
2018-08-22 00:00:00+00:00,862
2018-08-23 00:00:00+00:00,866
2018-08-24 00:00:00+00:00,867
2018-08-25 00:00:00+00:00,868
2018-08-28 00:00:00+00:00,870
2018-08-29 00:00:00+00:00,872
2018-08-30 00:00:00+00:00,873
2018-08-31 00:00:00+00:00,874
2018-09-01 00:00:00+00:00,876
2018-09-04 00:00:00+00:00,879
2018-09-06 00:00:00+00:00,880
2018-09-07 00:00:00+00:00,881
2018-09-08 00:00:00+00:00,882
2018-09-10 00:00:00+00:00,885
2018-09-11 00:00:00+00:00,887
2018-09-12 00:00:00+00:00,889
2018-09-13 00:00:00+00:00,891
2018-09-14 00:00:00+00:00,894
2018-09-18 00:00:00+00:00,896
2018-09-19 00:00:00+00:00,899
2018-09-20 00:00:00+00:00,901
2018-09-25 00:00:00+00:00,905
2018-09-26 00:00:00+00:00,906
2018-09-27 00:00:00+00:00,908
2018-09-30 00:00:00+00:00,909
2018-10-01 00:00:00+00:00,911
2018-10-02 00:00:00+00:00,914
2018-10-03 00:00:00+00:00,916
2018-10-04 00:00:00+00:00,918
2018-10-08 00:00:00+00:00,919
2018-10-10 00:00:00+00:00,923
2018-10-11 00:00:00+00:00,925
2018-10-12 00:00:00+00:00,926
2018-10-13 00:00:00+00:00,927
2018-10-17 00:00:00+00:00,929
2018-10-18 00:00:00+00:00,931
2018-10-19 00:00:00+00:00,933
2018-10-20 00:00:00+00:00,934
2018-10-21 00:00:00+00:00,935
2018-10-22 00:00:00+00:00,938
2018-10-23 00:00:00+00:00,939
2018-10-24 00:00:00+00:00,944
2018-10-25 00:00:00+00:00,946
2018-10-26 00:00:00+00:00,948
2018-10-27 00:00:00+00:00,949
2018-10-30 00:00:00+00:00,950
2018-10-31 00:00:00+00:00,952
2018-11-01 00:00:00+00:00,956
2018-11-02 00:00:00+00:00,958
2018-11-04 00:00:00+00:00,964
2018-11-05 00:00:00+00:00,967
2018-11-06 00:00:00+00:00,968
2018-11-07 00:00:00+00:00,969
2018-11-08 00:00:00+00:00,970
2018-11-10 00:00:00+00:00,971
2018-11-11 00:00:00+00:00,972
2018-11-12 00:00:00+00:00,973
2018-11-13 00:00:00+00:00,977
2018-11-14 00:00:00+00:00,982
2018-11-16 00:00:00+00:00,984
2018-11-18 00:00:00+00:00,987
2018-11-19 00:00:00+00:00,988
2018-11-21 00:00:00+00:00,989
2018-11-23 00:00:00+00:00,991
2018-11-24 00:00:00+00:00,992
2018-11-26 00:00:00+00:00,993
2018-11-29 00:00:00+00:00,994
2018-11-30 00:00:00+00:00,995
2018-12-02 00:00:00+00:00,996
2018-12-04 00:00:00+00:00,997
2018-12-06 00:00:00+00:00,998
2018-12-08 00:00:00+00:00,999
2018-12-09 00:00:00+00:00,1000
2018-12-10 00:00:00+00:00,1001
2018-12-12 00:00:00+00:00,1004
2018-12-13 00:00:00+00:00,1005
2018-12-14 00:00:00+00:00,1006
2018-12-16 00:00:00+00:00,1008
2018-12-17 00:00:00+00:00,1012
2018-12-18 00:00:00+00:00,1014
2018-12-19 00:00:00+00:00,1017
2018-12-20 00:00:00+00:00,1018
2018-12-21 00:00:00+00:00,1019
2018-12-23 00:00:00+00:00,1020
2018-12-25 00:00:00+00:00,1021
2018-12-26 00:00:00+00:00,1023
2018-12-27 00:00:00+00:00,1025
2018-12-28 00:00:00+00:00,1026
2018-12-30 00:00:00+00:00,1027
2018-12-31 00:00:00+00:00,1028
2019-01-02 00:00:00+00:00,1029
2019-01-03 00:00:00+00:00,1030
2019-01-05 00:00:00+00:00,1031
2019-01-07 00:00:00+00:00,1034
2019-01-08 00:00:00+00:00,1036
2019-01-10 00:00:00+00:00,1037
2019-01-11 00:00:00+00:00,1044
2019-01-12 00:00:00+00:00,1045
2019-01-13 00:00:00+00:00,1046
2019-01-14 00:00:00+00:00,1047
2019-01-15 00:00:00+00:00,1054
2019-01-16 00:00:00+00:00,1057
2019-01-18 00:00:00+00:00,1058
2019-01-19 00:00:00+00:00,1060
2019-01-20 00:00:00+00:00,1062
2019-01-21 00:00:00+00:00,1065
2019-01-22 00:00:00+00:00,1067
2019-01-23 00:00:00+00:00,1068
2019-01-28 00:00:00+00:00,1069
2019-01-29 00:00:00+00:00,1074
2019-01-30 00:00:00+00:00,1076
2019-02-01 00:00:00+00:00,1078
2019-02-03 00:00:00+00:00,1081
2019-02-05 00:00:00+00:00,1083
2019-02-06 00:00:00+00:00,1085
2019-02-07 00:00:00+00:00,1090
2019-02-08 00:00:00+00:00,1094
2019-02-10 00:00:00+00:00,1095
2019-02-12 00:00:00+00:00,1097
2019-02-14 00:00:00+00:00,1098
2019-02-17 00:00:00+00:00,1099
2019-02-18 00:00:00+00:00,1102
2019-02-19 00:00:00+00:00,1103
2019-02-20 00:00:00+00:00,1105
2019-02-21 00:00:00+00:00,1107
2019-02-22 00:00:00+00:00,1108
2019-02-23 00:00:00+00:00,1109
2019-02-24 00:00:00+00:00,1110
2019-02-25 00:00:00+00:00,1111
2019-02-26 00:00:00+00:00,1114
2019-02-27 00:00:00+00:00,1128
2019-02-28 00:00:00+00:00,1139
2019-03-01 00:00:00+00:00,1141
2019-03-02 00:00:00+00:00,1143
2019-03-03 00:00:00+00:00,1144
2019-03-04 00:00:00+00:00,1147
2019-03-05 00:00:00+00:00,1148
2019-03-07 00:00:00+00:00,1151
2019-03-08 00:00:00+00:00,1153
2019-03-09 00:00:00+00:00,1156
2019-03-10 00:00:00+00:00,1158
2019-03-11 00:00:00+00:00,1159
2019-03-12 00:00:00+00:00,1160
2019-03-13 00:00:00+00:00,1163
2019-03-14 00:00:00+00:00,1165
2019-03-15 00:00:00+00:00,1167
2019-03-18 00:00:00+00:00,1169
2019-03-19 00:00:00+00:00,1175
2019-03-21 00:00:00+00:00,1176
2019-03-22 00:00:00+00:00,1177
2019-03-24 00:00:00+00:00,1178
2019-03-25 00:00:00+00:00,1179
2019-03-27 00:00:00+00:00,1180
2019-03-28 00:00:00+00:00,1182
2019-03-29 00:00:00+00:00,1183
2019-03-31 00:00:00+00:00,1185
2019-04-03 00:00:00+00:00,1186
2019-04-04 00:00:00+00:00,1189
2019-04-05 00:00:00+00:00,1193
2019-04-06 00:00:00+00:00,1194
2019-04-07 00:00:00+00:00,1196
2019-04-08 00:00:00+00:00,1199
2019-04-09 00:00:00+00:00,1202
2019-04-10 00:00:00+00:00,1204
2019-04-14 00:00:00+00:00,1205
2019-04-15 00:00:00+00:00,1207
2019-04-16 00:00:00+00:00,1208
2019-04-17 00:00:00+00:00,1209
2019-04-18 00:00:00+00:00,1211
2019-04-20 00:00:00+00:00,1212
2019-04-22 00:00:00+00:00,1213
2019-04-23 00:00:00+00:00,1214
2019-04-24 00:00:00+00:00,1219
2019-04-26 00:00:00+00:00,1220
2019-04-28 00:00:00+00:00,1222
2019-04-29 00:00:00+00:00,1224
2019-04-30 00:00:00+00:00,1225
2019-05-01 00:00:00+00:00,1227
2019-05-02 00:00:00+00:00,1228
2019-05-03 00:00:00+00:00,1229
2019-05-04 00:00:00+00:00,1230
2019-05-05 00:00:00+00:00,1233
2019-05-07 00:00:00+00:00,1234
2019-05-08 00:00:00+00:00,1235
2019-05-09 00:00:00+00:00,1238
2019-05-10 00:00:00+00:00,1240
2019-05-11 00:00:00+00:00,1243
2019-05-12 00:00:00+00:00,1246
2019-05-13 00:00:00+00:00,1248
2019-05-14 00:00:00+00:00,1253
2019-05-15 00:00:00+00:00,1259
2019-05-16 00:00:00+00:00,1269
2019-05-17 00:00:00+00:00,1274
2019-05-18 00:00:00+00:00,1275
2019-05-19 00:00:00+00:00,1277
2019-05-20 00:00:00+00:00,1283
2019-05-21 00:00:00+00:00,1287
2019-05-22 00:00:00+00:00,1289
2019-05-23 00:00:00+00:00,1293
2019-05-24 00:00:00+00:00,1297
2019-05-25 00:00:00+00:00,1299
2019-05-27 00:00:00+00:00,1300
2019-05-28 00:00:00+00:00,1303
2019-05-29 00:00:00+00:00,1315
2019-05-30 00:00:00+00:00,1316
2019-05-31 00:00:00+00:00,1318
2019-06-01 00:00:00+00:00,1323
2019-06-02 00:00:00+00:00,1326
2019-06-03 00:00:00+00:00,1329
2019-06-04 00:00:00+00:00,1330
2019-06-05 00:00:00+00:00,1332
2019-06-06 00:00:00+00:00,1340
2019-06-07 00:00:00+00:00,1342
2019-06-08 00:00:00+00:00,1344
2019-06-09 00:00:00+00:00,1349
2019-06-10 00:00:00+00:00,1357
2019-06-11 00:00:00+00:00,1360
2019-06-12 00:00:00+00:00,1367
2019-06-13 00:00:00+00:00,1372
2019-06-14 00:00:00+00:00,1378
2019-06-15 00:00:00+00:00,1379
2019-06-16 00:00:00+00:00,1381
2019-06-17 00:00:00+00:00,1387
2019-06-18 00:00:00+00:00,1390
2019-06-19 00:00:00+00:00,1392
2019-06-20 00:00:00+00:00,1397
2019-06-21 00:00:00+00:00,1403
2019-06-22 00:00:00+00:00,1408
2019-06-23 00:00:00+00:00,1412
2019-06-24 00:00:00+00:00,1422
2019-06-25 00:00:00+00:00,1429
2019-06-26 00:00:00+00:00,1437
2019-06-27 00:00:00+00:00,1440
2019-06-28 00:00:00+00:00,1441
2019-06-29 00:00:00+00:00,1443
2019-06-30 00:00:00+00:00,1444
2019-07-01 00:00:00+00:00,1448
2019-07-02 00:00:00+00:00,1454
2019-07-03 00:00:00+00:00,1464
2019-07-04 00:00:00+00:00,1471
2019-07-05 00:00:00+00:00,1493
2019-07-06 00:00:00+00:00,1496
2019-07-07 00:00:00+00:00,1500
2019-07-08 00:00:00+00:00,1504
2019-07-09 00:00:00+00:00,1508
2019-07-10 00:00:00+00:00,1511
2019-07-11 00:00:00+00:00,1513
2019-07-12 00:00:00+00:00,1517
2019-07-13 00:00:00+00:00,1518
2019-07-14 00:00:00+00:00,1519
2019-07-15 00:00:00+00:00,1522
2019-07-16 00:00:00+00:00,1532
2019-07-17 00:00:00+00:00,1534
2019-07-18 00:00:00+00:00,1539
2019-07-19 00:00:00+00:00,1543
2019-07-20 00:00:00+00:00,1544
2019-07-21 00:00:00+00:00,1545
2019-07-22 00:00:00+00:00,1548
2019-07-23 00:00:00+00:00,1549
2019-07-24 00:00:00+00:00,1552
2019-07-25 00:00:00+00:00,1555
2019-07-26 00:00:00+00:00,1558
2019-07-27 00:00:00+00:00,1564
2019-07-28 00:00:00+00:00,1566
2019-07-29 00:00:00+00:00,1570
2019-07-30 00:00:00+00:00,1578
2019-07-31 00:00:00+00:00,1580
2019-08-01 00:00:00+00:00,1581
2019-08-03 00:00:00+00:00,1582
2019-08-04 00:00:00+00:00,1583
2019-08-05 00:00:00+00:00,1586
2019-08-06 00:00:00+00:00,1588
2019-08-07 00:00:00+00:00,1593
2019-08-08 00:00:00+00:00,1598
2019-08-09 00:00:00+00:00,1601
2019-08-12 00:00:00+00:00,1604
2019-08-13 00:00:00+00:00,1605
2019-08-14 00:00:00+00:00,1607
2019-08-15 00:00:00+00:00,1609
2019-08-16 00:00:00+00:00,1610
2019-08-18 00:00:00+00:00,1612
2019-08-19 00:00:00+00:00,1616
2019-08-20 00:00:00+00:00,1618
2019-08-21 00:00:00+00:00,1621
2019-08-22 00:00:00+00:00,1626
2019-08-23 00:00:00+00:00,1631
2019-08-25 00:00:00+00:00,1636
2019-08-26 00:00:00+00:00,1640
2019-08-27 00:00:00+00:00,1643
2019-08-28 00:00:00+00:00,1645
2019-08-29 00:00:00+00:00,1646
2019-08-30 00:00:00+00:00,1650
2019-08-31 00:00:00+00:00,1654
2019-09-01 00:00:00+00:00,1656
2019-09-02 00:00:00+00:00,1659
2019-09-03 00:00:00+00:00,1660
2019-09-04 00:00:00+00:00,1663
2019-09-05 00:00:00+00:00,1671
2019-09-06 00:00:00+00:00,1675
2019-09-07 00:00:00+00:00,1681
2019-09-08 00:00:00+00:00,1685
2019-09-09 00:00:00+00:00,1688
2019-09-10 00:00:00+00:00,1692
2019-09-11 00:00:00+00:00,1697
2019-09-12 00:00:00+00:00,1698
2019-09-13 00:00:00+00:00,1699
2019-09-14 00:00:00+00:00,1701
2019-09-15 00:00:00+00:00,1703
2019-09-16 00:00:00+00:00,1709
2019-09-17 00:00:00+00:00,1715
2019-09-18 00:00:00+00:00,1722
2019-09-19 00:00:00+00:00,1726
2019-09-20 00:00:00+00:00,1728
2019-09-21 00:00:00+00:00,1729
2019-09-22 00:00:00+00:00,1731
2019-09-23 00:00:00+00:00,1736
2019-09-24 00:00:00+00:00,1745
2019-09-25 00:00:00+00:00,1763
2019-09-26 00:00:00+00:00,1797
2019-09-27 00:00:00+00:00,1877
2019-09-28 00:00:00+00:00,1897
2019-09-29 00:00:00+00:00,1944
2019-09-30 00:00:00+00:00,1948
2019-10-01 00:00:00+00:00,1953
2019-10-02 00:00:00+00:00,1959
2019-10-03 00:00:00+00:00,1968
2019-10-04 00:00:00+00:00,1982
2019-10-05 00:00:00+00:00,1989
2019-10-06 00:00:00+00:00,1991
2019-10-07 00:00:00+00:00,1994
2019-10-08 00:00:00+00:00,2001
2019-10-09 00:00:00+00:00,2004
2019-10-10 00:00:00+00:00,2011
2019-10-11 00:00:00+00:00,2014
2019-10-12 00:00:00+00:00,2015
2019-10-13 00:00:00+00:00,2016
2019-10-14 00:00:00+00:00,2020
2019-10-15 00:00:00+00:00,2024
2019-10-16 00:00:00+00:00,2028
2019-10-17 00:00:00+00:00,2031
2019-10-18 00:00:00+00:00,2035
2019-10-19 00:00:00+00:00,2036
2019-10-20 00:00:00+00:00,2038
2019-10-21 00:00:00+00:00,2040
2019-10-22 00:00:00+00:00,2043
2019-10-23 00:00:00+00:00,2047
2019-10-24 00:00:00+00:00,2053
2019-10-25 00:00:00+00:00,2067
2019-10-26 00:00:00+00:00,2069
2019-10-27 00:00:00+00:00,2076
2019-10-28 00:00:00+00:00,2085
2019-10-29 00:00:00+00:00,2091
2019-10-30 00:00:00+00:00,2096
2019-10-31 00:00:00+00:00,2102
2019-11-01 00:00:00+00:00,2108
2019-11-02 00:00:00+00:00,2109
2019-11-03 00:00:00+00:00,2111
2019-11-04 00:00:00+00:00,2115
2019-11-05 00:00:00+00:00,2119
2019-11-06 00:00:00+00:00,2125
2019-11-07 00:00:00+00:00,2128
2019-11-08 00:00:00+00:00,2132
2019-11-09 00:00:00+00:00,2134
2019-11-10 00:00:00+00:00,2137
2019-11-11 00:00:00+00:00,2140
2019-11-12 00:00:00+00:00,2144
2019-11-13 00:00:00+00:00,2161
2019-11-14 00:00:00+00:00,2169
2019-11-15 00:00:00+00:00,2172
2019-11-16 00:00:00+00:00,2173
